Timestamp,total-bitcoins
2019-02-24 05:08:35,17555037.5
2019-03-06 02:15:45,17573062.5
2019-03-16 06:04:37,17591137.5
2019-03-19 07:11:25,17597187.5
2019-03-22 08:09:46,17603237.5
2019-04-04 15:47:41,17627312.5
2019-04-14 14:55:41,17645312.5
2019-04-18 02:53:52,17651337.5
2019-04-28 02:55:12,17669412.5
2019-05-20 10:41:24,17711587.5
2019-05-23 13:07:45,17717587.5
2019-06-01 20:04:38,17735637.5
2019-06-08 13:55:42,17747687.5
2019-06-21 13:39:31,17771687.5
2019-06-24 14:00:37,17777687.5
2019-06-30 14:24:04,17789712.5
2019-07-06 09:23:26,17801712.5
2019-07-09 05:47:49,17807737.5
2019-07-12 16:29:02,17813762.5
2019-07-19 13:51:43,17825762.5
2019-07-22 12:07:52,17831762.5
2019-07-25 22:28:16,17837787.5
2019-08-03 21:20:02,17855812.5
2019-08-16 14:31:49,17879937.5
2019-08-23 10:08:25,17891987.5
2019-08-26 13:02:10,17898012.5
2019-09-01 20:16:20,17910037.5
2019-09-08 02:48:10,17922087.5
2019-09-10 22:44:53,17928087.5
2019-09-20 01:12:22,17946137.5
2019-09-23 02:23:48,17952137.5
2019-09-26 08:27:51,17958187.5
2019-10-03 01:36:47,17970237.5
2019-10-06 06:45:53,17976237.5
2019-10-09 08:35:36,17982262.5
2019-10-12 14:21:03,17988287.5
2019-10-19 04:57:26,18000362.5
2019-10-22 09:35:29,18006387.5
2019-10-29 04:17:50,18018387.5
2019-11-05 10:31:39,18030437.5
2019-11-15 07:14:02,18048437.5
2019-12-02 09:09:35,18078537.5
2019-12-05 11:26:57,18084537.5
2019-12-12 00:27:48,18096537.5
2019-12-18 20:19:50,18108562.5
2020-01-06 11:49:00,18144662.5
2020-01-09 14:54:31,18150662.5
2020-01-12 16:25:41,18156687.5
2020-01-15 23:18:38,18162687.5
2020-02-01 13:50:34,18194087.5
2020-02-11 20:19:16,18212137.5
2020-02-15 05:51:40,18218137.5
2020-02-18 12:14:27,18224162.5
2020-02-21 22:03:09,18230162.5
2020-02-25 06:23:55,18236162.5
2020-02-28 13:49:48,18242162.5
2020-03-02 15:12:49,18248162.5
2020-03-08 15:01:06,18260187.5
2020-03-27 19:42:37,18290237.5
2020-03-31 03:00:39,18296262.5
2020-04-28 15:52:46,18350312.5
2020-05-15 06:43:20,18377737.5
2020-05-30 20:04:42,18389768.75
2020-06-03 07:01:35,18392768.75
2020-06-06 07:02:13,18395768.75
2020-06-09 02:46:49,18398787.5
2020-06-11 22:01:34,18401787.5
2020-06-14 21:01:10,18404793.75
2020-06-18 06:01:29,18407812.5
2020-06-21 17:50:17,18410812.5
2020-06-25 00:28:21,18413818.75
2020-07-04 11:04:47,18422831.25
2020-07-07 11:06:41,18425837.5
2020-07-10 13:22:39,18428856.25
2020-07-20 19:22:29,18437856.25
2020-07-27 10:46:45,18443856.25
2020-07-30 18:01:55,18446856.25
2020-08-06 08:33:24,18452843.75
2020-08-09 14:51:42,18455843.75
2020-08-12 20:08:10,18458837.5
2020-08-15 20:23:42,18461843.75
2020-08-22 15:04:23,18467843.75
2020-08-25 22:01:54,18470856.25
2020-08-29 06:22:01,18473862.5
2020-09-01 16:36:40,18476862.5
2020-09-05 02:42:27,18479868.75
2020-09-08 05:15:17,18482881.25
2020-09-11 10:17:02,18485881.25
2020-09-14 07:55:10,18488881.25
2020-09-17 07:22:27,18491881.25
2020-09-23 19:19:54,18497868.75
2020-09-30 06:57:26,18503906.25
2020-10-03 16:55:47,18506906.25
2020-10-07 02:54:15,18509918.75
2020-10-10 07:14:47,18512918.75
2020-10-13 14:02:44,18515931.25
2020-10-16 16:24:54,18518937.5
2020-10-20 03:01:18,18521943.75
2020-10-23 19:10:06,18524962.5
